frequency,monetary,avg_order_value,frequency,unique_categories,unique_sellers,avg_review_score,late_delivery_ratio,avg_installments,max_installments,payment_method_count,preferred_payment_type,state,latitude,longitude,churn_label
2,82.82,41.41,2,2,2,4.5,0.0,1.0,1.0,1,credit_card,SP,-23.57748155601053,-46.587076922036246,1
1,141.46,141.46,1,1,1,4.0,0.0,1.0,1.0,1,boleto,BA,-12.186877292980054,-44.54023182310159,0
1,179.12,179.12,1,1,1,5.0,0.0,3.0,3.0,1,credit_card,GO,-16.745149541882594,-48.51478334802312,0
1,72.2,72.2,1,1,1,5.0,0.0,1.0,1.0,1,credit_card,RN,-5.77400159023228,-35.27097556201267,1
1,28.62,28.62,1,1,1,5.0,0.0,1.0,1.0,1,credit_card,SP,-23.676257121129435,-46.514580485550326,0
1,175.26,175.26,1,1,1,4.0,0.0,6.0,6.0,1,credit_card,PR,-23.553600742564264,-50.54981189906231,1
1,65.95,65.95,1,1,1,2.0,0.0,1.0,1.0,1,credit_card,RS,-27.86621255732757,-54.47041081818247,1
1,75.16,75.16,1,1,1,5.0,0.0,3.0,3.0,1,credit_card,RJ,-22.805674120989377,-43.42305940993564,1
1,35.95,35.95,1,1,1,1.0,0.0,1.0,1.0,1,boleto,RS,-27.42176863536326,-52.67502180601173,1
1,169.76000000000002,169.76000000000002,1,1,1,5.0,0.0,1.0,1.0,1,voucher,SP,-23.474638753996043,-47.46722002132996,1
1,259.06,129.53,1,1,1,1.0,0.0,1.0,1.0,1,credit_card,RJ,-22.897213252530264,-43.27335279830731,1
1,114.13,114.13,1,1,1,4.0,0.0,1.0,1.0,1,credit_card,SP,-23.601782600389395,-46.609535161698375,1
1,50.13,50.13,1,1,1,5.0,0.0,1.0,1.0,1,boleto,MG,-20.39040558078619,-43.505816230713535,0
1,32.7,32.7,1,1,1,5.0,0.0,3.0,3.0,1,credit_card,SP,-23.71362772122105,-46.68751010064247,0
1,54.36,54.36,1,1,1,4.0,0.0,1.0,1.0,1,credit_card,SP,-23.42963545922934,-46.794297138494095,0
2,207.51,103.755,2,2,2,5.0,0.0,6.5,10.0,1,credit_card,GO,-16.706658492804788,-49.24882030538303,0
2,1441.62,720.8100000000001,2,2,2,5.0,0.5,5.5,10.0,1,credit_card,RJ,-22.87905094374511,-43.31422748319455,1
1,43.09,43.09,1,1,1,5.0,0.0,4.0,4.0,1,credit_card,SC,-28.23243831125525,-48.68022343405556,1
1,29.75,29.75,1,1,1,5.0,0.0,1.0,1.0,1,credit_card,SP,-22.88986623250125,-47.19728897100581,1
1,92.97,92.97,1,1,1,4.0,0.0,1.0,1.0,1,voucher,BA,-12.244490545252848,-38.97927798222695,1
1,118.86,118.86,1,1,1,2.0,1.0,1.0,1.0,1,boleto,SP,-23.57300687409475,-46.65003761967983,1
1,88.89999999999999,88.89999999999999,1,1,1,5.0,0.0,4.0,4.0,1,credit_card,SP,-23.584753527140265,-46.4218895215329,0
1,17.28,17.28,1,1,1,3.0,0.0,1.0,1.0,1,credit_card,SP,-23.5464714248376,-46.57231916606706,0
1,187.57,187.57,1,1,1,4.0,0.0,3.0,3.0,1,credit_card,SC,-26.87309860497838,-49.1279113740989,1
1,104.11,104.11,1,1,1,5.0,0.0,1.0,1.0,1,boleto,SP,-23.5341340282984,-47.50130818131877,0
1,125.43,125.43,1,1,1,2.0,1.0,1.0,1.0,1,boleto,RJ,-22.879711309620664,-43.44064089254966,0
1,227.68,113.84,1,1,2,1.0,0.0,10.0,10.0,1,credit_card,BA,-12.937377883374747,-38.44633075824056,0
1,60.69,60.69,1,1,1,5.0,0.0,2.0,2.0,1,credit_card,SP,-22.00541129977232,-47.85590702233853,0
1,192.68,192.68,1,1,1,4.0,0.0,8.0,8.0,1,credit_card,SP,-23.697297834381505,-46.530336265234375,0
1,63.34,63.34,1,1,1,4.0,0.0,3.0,3.0,1,credit_card,RR,2.8230325732416617,-60.75331409895744,0
1,313.19,313.19,1,1,1,2.0,0.0,1.0,1.0,1,boleto,SP,-23.60458678569011,-46.73921553115134,1
1,224.9,224.9,1,1,1,1.0,0.0,4.0,4.0,1,credit_card,PE,-8.68019428917731,-35.58901234652733,0
1,63.1,63.1,1,1,1,4.0,0.0,1.0,1.0,1,credit_card,SP,-23.64169866193504,-46.75231824373689,1
1,100.25,100.25,1,1,1,5.0,0.0,1.0,1.0,1,credit_card,RJ,-22.78413515858476,-43.41069815343363,0
1,188.41,188.41,1,1,1,5.0,0.0,2.0,2.0,1,credit_card,SP,-22.74057348206503,-47.37588873094647,0
1,106.95,106.95,1,1,1,5.0,1.0,4.0,4.0,1,credit_card,TO,-12.47915010557042,-49.12274118014879,0
1,66.78999999999999,66.78999999999999,1,1,1,4.0,0.0,1.0,1.0,1,boleto,CE,-3.924749169815321,-40.89326193606559,0
1,43.0,43.0,1,1,1,5.0,0.0,1.0,1.0,1,boleto,SP,-22.24728780004763,-50.70069077121259,1
1,508.17,508.17,1,1,1,5.0,0.0,1.0,1.0,1,boleto,PE,-8.165532137147762,-34.93218352812589,0
1,49.69,49.69,1,1,1,3.0,0.0,4.0,4.0,1,credit_card,SP,-23.60838419310231,-46.68559464820463,0
1,154.19,154.19,1,1,1,5.0,0.0,4.0,4.0,1,credit_card,RJ,-22.616674007045216,-43.706674061865066,1
1,356.12,356.12,1,1,1,1.0,1.0,10.0,10.0,1,credit_card,SP,-21.875829755463744,-51.84463248384426,1
1,95.67,95.67,1,1,1,5.0,0.0,9.0,9.0,1,credit_card,DF,-15.616784595801636,-47.64695646790421,1
1,121.62,121.62,1,1,1,4.0,0.0,1.0,1.0,1,debit_card,BA,-12.089151568693277,-45.79249830871936,0
2,44.72,22.36,2,1,2,3.0,0.0,1.0,1.0,2,boleto,SP,-23.169423079351155,-46.88676999395853,0
1,153.72,153.72,1,1,1,1.0,0.0,7.0,7.0,1,credit_card,RJ,-22.79770685220938,-43.18163103408031,1
2,168.22,84.11,2,1,2,4.0,0.0,2.5,4.0,1,credit_card,BA,-12.669575109908283,-39.10375410905095,1
1,82.33000000000001,82.33000000000001,1,1,1,5.0,0.0,5.0,5.0,1,credit_card,SP,-23.225880409887527,-45.88754843700765,0
1,52.24,52.24,1,1,1,5.0,0.0,1.0,1.0,1,credit_card,RS,-29.03613785421223,-51.18319995780463,0
1,130.56,130.56,1,1,1,5.0,0.0,1.0,1.0,1,boleto,SP,-23.54387912664661,-46.63995414482916,1
