iter	F1	Logloss
0	0.5420494881	0.6904431033
1	0.5203098884	0.6879016667
2	0.532658741	0.6857837451
3	0.5257795036	0.6840788057
4	0.5305399359	0.682522182
5	0.5369257867	0.6813641744
6	0.5335622119	0.6799205626
7	0.5342142462	0.679158014
8	0.5309954955	0.6780987989
9	0.5298519859	0.6769531471
10	0.5341179833	0.6763178448
11	0.5372602973	0.675414996
12	0.5382750867	0.6746214694
13	0.5373537259	0.6739234952
14	0.5377463613	0.6733015108
15	0.5387770397	0.6726378365
16	0.5391696323	0.6721783716
17	0.5403573052	0.6716837978
18	0.540249997	0.6713084476
19	0.5403326192	0.6710214986
20	0.540911204	0.6706690125
21	0.5420721098	0.6702675308
22	0.5424108873	0.6697340263
23	0.5448393905	0.6688930686
24	0.5446300236	0.6685004677
25	0.5462003656	0.6682011592
26	0.5470175869	0.6677166322
27	0.5487992449	0.6672547538
28	0.5501144068	0.6669803931
29	0.549567646	0.6668214424
30	0.551121202	0.6663303794
31	0.5509866724	0.6660034548
32	0.552315447	0.6654634723
33	0.5525853028	0.6651806047
34	0.5524316153	0.6649587664
35	0.5534926649	0.6646709966
36	0.5544151409	0.6644332677
37	0.5547015098	0.6642858607
38	0.5559419518	0.6638779812
39	0.5563483327	0.6636562434
40	0.5566571981	0.6632007998
41	0.557122506	0.6629645563
42	0.5578090452	0.6626227394
43	0.5604708819	0.6621256481
44	0.5608153982	0.6619961809
45	0.561634875	0.6618099426
46	0.5623697415	0.6616496782
47	0.5632189208	0.6613313895
48	0.5639241432	0.6610133006
49	0.5638497484	0.6607695252
50	0.5642471671	0.6605815187
51	0.5642121946	0.6604554488
52	0.5642098153	0.6603837259
53	0.5648735774	0.6600148741
54	0.5651664069	0.6597974247
55	0.5656133946	0.6595558315
56	0.5659551699	0.6592887309
57	0.5662798737	0.6587453362
58	0.5669740065	0.6584215106
59	0.5676689748	0.6580647176
60	0.5678358407	0.6578878519
61	0.5679848341	0.6577838765
62	0.5685008682	0.6575365311
63	0.5704172272	0.6572693396
64	0.5711875402	0.656866122
65	0.5717590725	0.6565424386
66	0.5729608164	0.6562480211
67	0.5734135672	0.6559917561
68	0.574823327	0.6554906391
69	0.575214541	0.655226788
70	0.5756372477	0.6550808904
71	0.5759665595	0.6549114644
72	0.576452161	0.6546316874
73	0.5768101873	0.6544581872
74	0.577007991	0.6543663659
75	0.578402919	0.6539566636
76	0.5787788749	0.6537716512
77	0.5787531755	0.653660201
78	0.5792295681	0.6531242356
79	0.5793575676	0.653018749
80	0.5803151656	0.6526749441
81	0.5810785849	0.6524415656
82	0.581257817	0.6524152694
83	0.5817376325	0.6520993263
84	0.5820553393	0.6519975477
85	0.5819792876	0.6518490711
86	0.5822447531	0.6515763541
87	0.5822690759	0.6514693131
88	0.5824982152	0.6513649243
89	0.5830517552	0.6510519292
90	0.5832971816	0.6506744621
91	0.5839017165	0.6503563045
92	0.5839602462	0.6500772017
93	0.5847894524	0.6495252286
94	0.5851615285	0.6492130838
95	0.5849995762	0.6490073614
96	0.5863993419	0.6485713283
97	0.5864875241	0.6484978067
98	0.5866467521	0.648364472
99	0.5862720563	0.6481354307
100	0.5864410169	0.6480389935
101	0.5864927581	0.6478779353
102	0.5867970958	0.6474254257
103	0.5873264515	0.6470120572
104	0.5877186808	0.6468772852
105	0.588095224	0.6467387852
106	0.5883722198	0.6466072955
107	0.5888956351	0.6464010637
108	0.5895713864	0.6461148708
109	0.5895689917	0.6459307824
110	0.5896222554	0.6458820277
111	0.5898953531	0.6456819781
112	0.5909367333	0.6450503933
113	0.5915784576	0.6448596701
114	0.5924655898	0.6446069756
115	0.5929450553	0.6442815815
116	0.5933469462	0.6438787917
117	0.5937211809	0.6435809161
118	0.5942678334	0.6429799857
119	0.5946416626	0.6427076628
120	0.595228079	0.6424401003
121	0.5966452616	0.6420262814
122	0.5980839967	0.6415536932
123	0.5981300232	0.6412778535
124	0.5989362273	0.6407967079
125	0.5993796983	0.6404240612
126	0.6003486716	0.640050602
127	0.6004958059	0.6397812033
128	0.6013454718	0.6394440622
129	0.6021663325	0.6390939779
130	0.6035844367	0.6385274049
131	0.6046472395	0.6379767201
132	0.6052915487	0.637514564
133	0.6056978512	0.6371606058
134	0.606068311	0.6365038054
135	0.6068240592	0.6360807728
136	0.6081755705	0.6354606203
137	0.6087656779	0.6350665986
138	0.6089804863	0.6348496021
139	0.6101493761	0.6343423394
140	0.6107688967	0.6340096898
141	0.6108996373	0.6336151381
142	0.6121349815	0.6331300791
143	0.6131242188	0.632649603
144	0.6140466116	0.6321719391
145	0.6145364522	0.6318274041
146	0.6148254883	0.6315709192
147	0.6154010806	0.6313041148
148	0.6162127828	0.6309894332
149	0.6167209204	0.630600809
150	0.6175374201	0.6301163664
151	0.6180338833	0.6297184087
152	0.6180035926	0.6293964997
153	0.6185592647	0.6290729192
154	0.6191851819	0.6285708677
155	0.6197695443	0.6283022702
156	0.6198971965	0.6280758205
157	0.621207322	0.6277598469
158	0.6212761851	0.6273808756
159	0.6221157848	0.6270011433
160	0.6228252694	0.6264703162
161	0.6238836664	0.6261597933
162	0.6245127009	0.6258563858
163	0.6248613517	0.6254668599
164	0.6255551135	0.6249928484
165	0.6266634772	0.6246688531
166	0.6269104828	0.6243402477
167	0.6270305504	0.6240091205
168	0.6278692778	0.6236835285
169	0.6287318445	0.6232501343
170	0.629466208	0.6229166985
171	0.6296505566	0.6226713492
172	0.6300313944	0.6224194115
173	0.6306208946	0.6221235986
174	0.631686906	0.6218368956
175	0.6322004626	0.6214468549
176	0.6332145935	0.6209941766
177	0.6334615309	0.6208009193
178	0.6342222741	0.620373077
179	0.6345638995	0.6201306243
180	0.6348841748	0.6198396967
181	0.6352477134	0.6195676108
182	0.6351181741	0.6193582121
183	0.6355773784	0.6190553431
184	0.6359171125	0.6187465166
185	0.636212481	0.6184589169
186	0.6367672964	0.6182521139
187	0.637099158	0.6180188135
188	0.6379146278	0.6176981569
189	0.638662524	0.6172960725
190	0.6393818389	0.6169544033
191	0.6403331621	0.6164934683
192	0.6407072937	0.6161916975
193	0.6415150708	0.6157115668
194	0.6418597377	0.6154864464
195	0.6424838318	0.6151677757
196	0.6430159759	0.6148236924
197	0.6441232489	0.6144289484
198	0.6448913402	0.6141233545
199	0.6450696793	0.6138359212
200	0.6456158493	0.6135830734
201	0.6465098583	0.6132516272
202	0.6472791616	0.6128088579
203	0.6473892544	0.6124655426
204	0.6477579481	0.6120724446
205	0.6482223856	0.6117873227
206	0.648680516	0.6114753114
207	0.6489957139	0.6110722804
208	0.6499707947	0.6106934324
209	0.6504682901	0.6104185518
210	0.651386776	0.6100161897
211	0.6514394207	0.6097719736
212	0.6516180891	0.6094738637
213	0.6525004074	0.6092319618
214	0.6525141734	0.6090234824
215	0.6532442121	0.6086735344
216	0.6531845035	0.6082882681
217	0.6536763363	0.6080305463
218	0.6538412496	0.6077787178
219	0.6540630018	0.6073067919
220	0.6550289515	0.6068670519
221	0.6558708993	0.6065661109
222	0.65698137	0.6061348872
223	0.6571754392	0.6058291999
224	0.6579055356	0.6055690193
225	0.6584079292	0.6052271803
226	0.658520678	0.6049901843
227	0.6592908981	0.6047488167
228	0.659472646	0.6044873738
229	0.6601871903	0.6041247441
230	0.6607047792	0.6038499672
231	0.6607190778	0.6034726287
232	0.6612095606	0.6032364341
233	0.6616856493	0.6028231176
234	0.6619231764	0.6025955352
235	0.6618811495	0.6023439755
236	0.663378083	0.6019571447
237	0.663378083	0.601702235
238	0.6636581534	0.6014670656
239	0.6642884902	0.6011610969
240	0.6646948588	0.6007966449
241	0.665255114	0.6005443808
242	0.6658561647	0.6003633035
243	0.6662619516	0.6000888032
244	0.6661916814	0.5998730001
245	0.666458334	0.5995916947
