iter	Passed	Remaining
0	153	45874
1	237	35356
2	315	31264
3	399	29585
4	483	28505
5	565	27702
6	646	27080
7	741	27064
8	827	26743
9	920	26687
10	1010	26552
11	1096	26321
12	1185	26182
13	1268	25909
14	1367	25973
15	1459	25908
16	1555	25888
17	1642	25736
18	1731	25605
19	1812	25376
20	1895	25185
21	1978	24997
22	2064	24865
23	2147	24694
24	2223	24461
25	2311	24362
26	2393	24205
27	2483	24121
28	2566	23987
29	2647	23825
30	2732	23710
31	2813	23563
32	2902	23485
33	2987	23375
34	3075	23285
35	3162	23191
36	3243	23052
37	3330	22965
38	3411	22833
39	3498	22742
40	3581	22626
41	3667	22527
42	3751	22421
43	3837	22325
44	3925	22243
45	4011	22151
46	4098	22062
47	4179	21940
48	4261	21827
49	4345	21728
50	4428	21619
51	4532	21618
52	4639	21623
53	4723	21517
54	4812	21436
55	4895	21331
56	4981	21235
57	5069	21153
58	5157	21067
59	5239	20957
60	5323	20856
61	5404	20747
62	5490	20654
63	5577	20568
64	5663	20474
65	5746	20373
66	5829	20273
67	5916	20184
68	6011	20124
69	6106	20064
70	6197	19987
71	6291	19922
72	6405	19919
73	6505	19866
74	6590	19770
75	6675	19676
76	6759	19576
77	6805	19369
78	6887	19267
79	6969	19165
80	7059	19087
81	7150	19009
82	7237	18921
83	7322	18828
84	7404	18728
85	7488	18634
86	7571	18538
87	7651	18432
88	7738	18345
89	7822	18251
90	7909	18166
91	7990	18065
92	8076	17977
93	8156	17874
94	8239	17780
95	8323	17688
96	8407	17596
97	8491	17502
98	8570	17401
99	8685	17370
100	8773	17287
101	8861	17200
102	8946	17111
103	9028	17015
104	9112	16923
105	9195	16829
106	9288	16753
107	9373	16664
108	9459	16575
109	9541	16480
110	9621	16383
111	9707	16294
112	9752	16138
113	9829	16037
114	9910	15942
115	10000	15863
116	10085	15774
117	10169	15684
118	10254	15596
119	10343	15515
120	10424	15421
121	10511	15336
122	10594	15245
123	10678	15156
124	10758	15061
125	10836	14964
126	10919	14874
127	10999	14781
128	11081	14688
129	11137	14564
130	11220	14475
131	11303	14385
132	11384	14294
133	11418	14144
134	11501	14057
135	11588	13974
136	11668	13882
137	11747	13790
138	11836	13710
139	11931	13635
140	12015	13548
141	12099	13463
142	12187	13380
143	12266	13289
144	12351	13202
145	12437	13119
146	12519	13030
147	12574	12914
148	12702	12873
149	12808	12808
150	12901	12730
151	12993	12651
152	13070	12557
153	13154	12470
154	13246	12391
155	13342	12316
156	13439	12241
157	13523	12153
158	13612	12071
159	13728	12012
160	13817	11929
161	13906	11846
162	13992	11760
163	14075	11672
164	14159	11585
165	14242	11496
166	14326	11409
167	14411	11323
168	14506	11244
169	14588	11156
170	14674	11070
171	14764	10987
172	14850	10901
173	14939	10818
174	15020	10729
175	15108	10644
176	15197	10560
177	15281	10473
178	15363	10385
179	15449	10299
180	15538	10215
181	15618	10126
182	15700	10037
183	15788	9953
184	15871	9866
185	15959	9781
186	16050	9698
187	16132	9611
188	16217	9524
189	16304	9439
190	16390	9353
191	16475	9267
192	16580	9192
193	16703	9126
194	16815	9054
195	16904	8969
196	16987	8881
197	17068	8792
198	17160	8709
199	17242	8621
200	17324	8532
201	17409	8446
202	17494	8359
203	17577	8271
204	17652	8180
205	17739	8094
206	17822	8007
207	17904	7919
208	17985	7831
209	18065	7742
210	18145	7653
211	18219	7562
212	18296	7473
213	18385	7388
214	18461	7298
215	18506	7197
216	18588	7109
217	18670	7022
218	18748	6934
219	18824	6845
220	18901	6756
221	18982	6669
222	19066	6583
223	19147	6496
224	19227	6409
225	19304	6321
226	19384	6233
227	19464	6146
228	19544	6059
229	19630	5974
230	19714	5888
231	19798	5802
232	19879	5716
233	19968	5632
234	20046	5544
235	20128	5458
236	20205	5371
237	20288	5285
238	20367	5198
239	20450	5112
240	20531	5026
241	20610	4939
242	20687	4852
243	20771	4767
244	20862	4683
245	20959	4600
246	21041	4515
247	21128	4430
248	21210	4344
249	21296	4259
250	21381	4174
251	21461	4087
252	21541	4001
253	21623	3916
254	21704	3830
255	21783	3743
256	21862	3657
257	21944	3572
258	22031	3487
259	22114	3402
260	22196	3316
261	22276	3230
262	22355	3145
263	22436	3059
264	22521	2974
265	22601	2888
266	22682	2803
267	22765	2718
268	22844	2632
269	22932	2548
270	23025	2463
271	23103	2378
272	23183	2292
273	23265	2207
274	23346	2122
275	23429	2037
276	23508	1951
277	23589	1866
278	23676	1782
279	23776	1698
280	23862	1613
281	23946	1528
282	24034	1443
283	24128	1359
284	24215	1274
285	24300	1189
286	24388	1104
287	24474	1019
288	24563	934
289	24644	849
290	24735	765
291	24864	681
292	24949	596
293	25037	510
294	25119	425
295	25205	340
296	25292	255
297	25372	170
298	25459	85
299	25540	0
